ensembl_gene_id,ensembl_transcript_id,rgd_symbol,entrezgene_id,chr_name,gene_start,gene_end,strand
ENSRNOG00000055378,ENSRNOT00000082779,,,5,136021647,136021717,-1
ENSRNOG00000058391,ENSRNOT00000087130,,,5,9975072,9975175,1
ENSRNOG00000011752,ENSRNOT00000015802,Sh3d19,,2,185393441,185429630,1
ENSRNOG00000041331,ENSRNOT00000063084,,,5,147669740,147669833,-1
ENSRNOG00000014443,ENSRNOT00000019638,Pde5a,171115,2,226900619,227041576,1
ENSRNOG00000054871,ENSRNOT00000090259,,103694865,KL568414.1,83509,113951,1
ENSRNOG00000010835,ENSRNOT00000057055,Dmbx1,313512,5,134767436,134776247,-1
ENSRNOG00000057944,ENSRNOT00000082055,,,5,48979653,48979784,-1
ENSRNOG00000053163,ENSRNOT00000086511,,,5,150490192,150490327,1
ENSRNOG00000010482,ENSRNOT00000014274,Impa1,83523,2,93675203,93696232,1
ENSRNOG00000031027,ENSRNOT00000049593,LOC100912421,100912421,5,137514752,137515690,-1
ENSRNOG00000031027,ENSRNOT00000049593,Olr856,100912421,5,137514752,137515690,-1
ENSRNOG00000060522,ENSRNOT00000083901,,,5,5736906,5737192,-1
ENSRNOG00000051663,ENSRNOT00000077470,,,5,67311748,67312040,1
ENSRNOG00000058595,ENSRNOT00000087401,,,5,3686281,3686404,1
ENSRNOG00000060292,ENSRNOT00000089839,,500126,KL567939.1,85825,87504,-1
ENSRNOG00000060292,ENSRNOT00000089839,,100911622,KL567939.1,85825,87504,-1
ENSRNOG00000060292,ENSRNOT00000089839,,103692126,KL567939.1,85825,87504,-1
ENSRNOG00000043329,ENSRNOT00000066069,Rnf180,685384,2,35718889,35870578,-1
ENSRNOG00000054535,ENSRNOT00000081009,,,5,22905576,22905738,-1
ENSRNOG00000060109,ENSRNOT00000081535,,,5,135784738,135784969,-1
ENSRNOG00000050409,ENSRNOT00000075274,,,5,134344363,134344463,1
ENSRNOG00000058657,ENSRNOT00000087500,,,5,67878250,67878326,-1
ENSRNOG00000052383,ENSRNOT00000082860,,,KL568472.1,9356,10892,-1
ENSRNOG00000045586,ENSRNOT00000075477,,,5,159230391,159230454,1
ENSRNOG00000010450,ENSRNOT00000014074,Elovl7,,2,40373211,40386669,-1
ENSRNOG00000010819,ENSRNOT00000015474,Hspa4l,294993,2,127625737,127677499,1
ENSRNOG00000057518,ENSRNOT00000080644,,,5,122109262,122109421,1
ENSRNOG00000035567,ENSRNOT00000053690,Mir30c-1,,5,139699877,139699965,-1
ENSRNOG00000050935,ENSRNOT00000074203,,,KL568157.1,4132734,4133525,-1
ENSRNOG00000041305,ENSRNOT00000063058,Mir873,,5,52481076,52481152,-1
ENSRNOG00000061356,ENSRNOT00000086045,,,5,133961498,133961553,-1
ENSRNOG00000012799,ENSRNOT00000017626,Prkaa1,65248,2,54857688,54893404,1
ENSRNOG00000027246,ENSRNOT00000073730,LOC100911668,100911668,KL567939.1,102866,105278,-1
ENSRNOG00000027246,ENSRNOT00000073730,LOC100911668,100912608,KL567939.1,102866,105278,-1
ENSRNOG00000027246,ENSRNOT00000073730,LOC100911668,100913071,KL567939.1,102866,105278,-1
ENSRNOG00000027246,ENSRNOT00000073730,LOC100911668,103692129,KL567939.1,102866,105278,-1
ENSRNOG00000015962,ENSRNOT00000048914,Nmnat1,298653,5,166409461,166430254,-1
ENSRNOG00000047024,ENSRNOT00000072079,,,KL568157.1,3460660,3461303,-1
ENSRNOG00000041777,ENSRNOT00000063530,,,5,99616158,99616282,-1
ENSRNOG00000053278,ENSRNOT00000079766,,,5,5464323,5464444,1
ENSRNOG00000012302,ENSRNOT00000017190,Gucy1a3,497757,2,181045703,181102918,-1
ENSRNOG00000050339,ENSRNOT00000073338,,,5,128040175,128040241,-1
ENSRNOG00000058609,ENSRNOT00000089082,,,2,220481616,220535751,-1
ENSRNOG00000059772,ENSRNOT00000078697,,,5,72221522,72221653,-1
ENSRNOG00000049173,ENSRNOT00000072995,,,2,193051610,193063357,-1
ENSRNOG00000031115,ENSRNOT00000049679,LOC499530,499530,2,48961645,48970101,1
ENSRNOG00000042970,ENSRNOT00000065242,LOC679475,,2,193083901,193101051,-1
ENSRNOG00000023455,ENSRNOT00000035312,Pomgnt1,362567,5,135007343,135017218,1
ENSRNOG00000054806,ENSRNOT00000085895,,60396,AABR07024291.1,20667,104486,1
ENSRNOG00000054806,ENSRNOT00000087152,,60396,AABR07024291.1,20667,104486,1
ENSRNOG00000054806,ENSRNOT00000085895,,103694901,AABR07024291.1,20667,104486,1
ENSRNOG00000054806,ENSRNOT00000087152,,103694901,AABR07024291.1,20667,104486,1
ENSRNOG00000058109,ENSRNOT00000087161,,,2,46040030,46042636,-1
ENSRNOG00000028865,ENSRNOT00000042142,Kprp,432393,2,193132222,193136520,-1
ENSRNOG00000057529,ENSRNOT00000077895,,,2,57997087,57997196,1
ENSRNOG00000059291,ENSRNOT00000088361,,,5,22830718,22830880,-1
ENSRNOG00000027833,ENSRNOT00000090152,Fnip2,310538,2,178225915,178334900,-1
ENSRNOG00000027833,ENSRNOT00000038543,Fnip2,310538,2,178225915,178334900,-1
ENSRNOG00000056690,ENSRNOT00000077097,,,2,26443461,26443619,-1
ENSRNOG00000061662,ENSRNOT00000084684,,,5,150530145,150530348,-1
ENSRNOG00000011623,ENSRNOT00000015871,Rab3c,171058,2,41570597,41785792,-1
ENSRNOG00000011623,ENSRNOT00000086851,Rab3c,171058,2,41570597,41785792,-1
ENSRNOG00000058404,ENSRNOT00000091804,,,5,164068586,164068692,-1
ENSRNOG00000060857,ENSRNOT00000081809,,,2,78574855,78574917,-1
ENSRNOG00000020563,ENSRNOT00000067539,Cma1,25627,15,34601037,34603819,-1
ENSRNOG00000053530,ENSRNOT00000080112,,,2,45268633,45268751,1
ENSRNOG00000035491,ENSRNOT00000053614,Mir137,,2,221658106,221658207,1
ENSRNOG00000058186,ENSRNOT00000085315,,313729,5,167952728,167966009,1
ENSRNOG00000045688,ENSRNOT00000072197,,,KL568157.1,4342468,4343114,-1
ENSRNOG00000060405,ENSRNOT00000087476,,,15,34634122,34636197,-1
ENSRNOG00000050724,ENSRNOT00000056486,LOC102552128,,2,193007573,193007929,-1
ENSRNOG00000055744,ENSRNOT00000092215,,,5,42395559,42395657,1
ENSRNOG00000019780,ENSRNOT00000026883,Sypl2,362018,2,211003046,211017778,-1
ENSRNOG00000061929,ENSRNOT00000079757,,,5,55995885,55995998,-1
ENSRNOG00000058638,ENSRNOT00000086855,,,2,181786255,181786567,1
ENSRNOG00000049075,ENSRNOT00000075493,Fabp5,140868,2,93981656,93985378,-1
ENSRNOG00000049869,ENSRNOT00000071279,LOC103694737,103694737,KL568157.1,5113337,5114041,-1
ENSRNOG00000049869,ENSRNOT00000071279,LOC103694737,103694745,KL568157.1,5113337,5114041,-1
ENSRNOG00000009574,ENSRNOT00000012684,Crct1,,2,193330397,193330699,-1
ENSRNOG00000060159,ENSRNOT00000090294,,,2,220645276,220663305,-1
ENSRNOG00000060042,ENSRNOT00000084190,,,2,198360335,198360475,1
ENSRNOG00000038965,ENSRNOT00000015146,LOC100362724,,X,20563114,20564157,1
ENSRNOG00000060629,ENSRNOT00000089125,,103694855,AABR07024041.1,23532,31048,-1
ENSRNOG00000056354,ENSRNOT00000080766,,,2,49203696,49203804,1
ENSRNOG00000023365,ENSRNOT00000036228,,,2,222792999,222793876,1
ENSRNOG00000018413,ENSRNOT00000024932,Per3,78962,5,168086998,168123395,-1
ENSRNOG00000059800,ENSRNOT00000080157,,,2,126678567,126678696,-1
ENSRNOG00000036420,ENSRNOT00000054532,,,2,245137009,245137116,1
ENSRNOG00000050700,ENSRNOT00000074085,,,X,21032317,21033358,1
ENSRNOG00000018825,ENSRNOT00000077584,Dcaf11,305895,15,34234193,34244504,1
ENSRNOG00000018825,ENSRNOT00000059987,Dcaf11,305895,15,34234193,34244504,1
ENSRNOG00000004118,ENSRNOT00000039796,Frmpd4,302656,X,28072826,28204260,1
ENSRNOG00000058175,ENSRNOT00000086840,,,2,102009592,102009699,-1
ENSRNOG00000055923,ENSRNOT00000080330,,,KL568125.1,19163,20786,1
ENSRNOG00000035499,ENSRNOT00000053622,Mir124-2,,2,102311603,102311711,1
ENSRNOG00000052755,ENSRNOT00000087104,,,2,85008768,85008871,-1
ENSRNOG00000049917,ENSRNOT00000071149,,,2,262679147,262679246,-1
ENSRNOG00000014000,ENSRNOT00000019189,Kif2a,84391,2,38147601,38208719,-1
ENSRNOG00000016408,ENSRNOT00000077375,Kirrel,310695,2,186420795,186515135,-1
ENSRNOG00000016408,ENSRNOT00000031743,Kirrel,310695,2,186420795,186515135,-1
ENSRNOG00000026944,ENSRNOT00000029265,Gpr150,499486,2,2812554,2814690,-1
ENSRNOG00000052099,ENSRNOT00000085117,,103694869,KL568418.1,137271,155262,-1
ENSRNOG00000030434,ENSRNOT00000040912,Rs1,100125595,X,35749957,35777243,-1
ENSRNOG00000052781,ENSRNOT00000079076,,,2,193253176,193253279,-1
ENSRNOG00000022939,ENSRNOT00000039000,Gpkow,679890,X,15636563,15651332,-1
ENSRNOG00000019789,ENSRNOT00000026819,Tssk4,290229,15,34328851,34331187,1
ENSRNOG00000050081,ENSRNOT00000074439,,,X,44157949,44158320,1
ENSRNOG00000051591,ENSRNOT00000090180,,,AABR07024264.1,3630,7199,-1
ENSRNOG00000021134,ENSRNOT00000028693,Anxa9,689830,2,196470858,196479770,-1
ENSRNOG00000046858,ENSRNOT00000075521,MGC109340,317409,X,106487870,106489387,1
ENSRNOG00000046858,ENSRNOT00000075521,MGC109340,100360464,X,106487870,106489387,1
ENSRNOG00000048644,ENSRNOT00000065210,,,15,33606124,33611579,1
ENSRNOG00000059664,ENSRNOT00000088891,,,2,115231127,115232050,-1
ENSRNOG00000023373,ENSRNOT00000038509,Sec24b,295461,2,230286892,230356834,-1
ENSRNOG00000011967,ENSRNOT00000066623,Nphp4,313749,5,169659188,169744660,1
ENSRNOG00000059641,ENSRNOT00000091530,,,X,105651155,105652822,1
ENSRNOG00000061457,ENSRNOT00000081070,,,KL568161.1,6072820,6073753,1
ENSRNOG00000023126,ENSRNOT00000031693,Rxfp3,294807,2,61006337,61007767,-1
ENSRNOG00000054205,ENSRNOT00000079474,,,2,48414194,48414291,-1
ENSRNOG00000037611,ENSRNOT00000043861,,,X,110342718,110343224,1
ENSRNOG00000053556,ENSRNOT00000084488,,,2,260026357,260026484,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694591,103694591,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694591,103694598,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694591,103694599,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694591,103694600,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694591,103694601,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694591,103694602,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694591,103694603,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694591,103694604,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694591,103694605,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694591,103694606,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694591,103694607,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694591,103694608,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694591,103694609,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694591,103694610,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694591,103694611,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694591,103694612,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694591,103694613,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694591,103694614,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694591,103694768,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694599,103694591,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694599,103694598,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694599,103694599,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694599,103694600,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694599,103694601,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694599,103694602,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694599,103694603,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694599,103694604,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694599,103694605,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694599,103694606,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694599,103694607,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694599,103694608,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694599,103694609,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694599,103694610,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694599,103694611,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694599,103694612,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694599,103694613,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694599,103694614,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694599,103694768,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694600,103694591,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694600,103694598,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694600,103694599,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694600,103694600,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694600,103694601,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694600,103694602,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694600,103694603,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694600,103694604,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694600,103694605,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694600,103694606,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694600,103694607,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694600,103694608,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694600,103694609,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694600,103694610,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694600,103694611,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694600,103694612,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694600,103694613,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694600,103694614,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694600,103694768,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694601,103694591,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694601,103694598,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694601,103694599,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694601,103694600,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694601,103694601,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694601,103694602,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694601,103694603,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694601,103694604,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694601,103694605,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694601,103694606,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694601,103694607,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694601,103694608,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694601,103694609,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694601,103694610,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694601,103694611,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694601,103694612,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694601,103694613,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694601,103694614,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694601,103694768,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694603,103694591,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694603,103694598,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694603,103694599,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694603,103694600,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694603,103694601,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694603,103694602,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694603,103694603,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694603,103694604,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694603,103694605,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694603,103694606,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694603,103694607,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694603,103694608,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694603,103694609,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694603,103694610,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694603,103694611,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694603,103694612,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694603,103694613,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694603,103694614,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694603,103694768,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694604,103694591,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694604,103694598,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694604,103694599,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694604,103694600,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694604,103694601,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694604,103694602,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694604,103694603,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694604,103694604,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694604,103694605,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694604,103694606,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694604,103694607,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694604,103694608,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694604,103694609,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694604,103694610,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694604,103694611,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694604,103694612,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694604,103694613,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694604,103694614,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694604,103694768,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694605,103694591,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694605,103694598,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694605,103694599,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694605,103694600,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694605,103694601,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694605,103694602,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694605,103694603,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694605,103694604,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694605,103694605,KL568161.1,5318850,5319860,1
ENSRNOG00000059366,ENSRNOT00000087179,LOC103694605,103694606,KL568161.1,5318850,5319860,1
