ensembl_gene_id,illumina_humanht_12_v4
ENSG00000170276,ILMN_1671046
ENSG00000261090,
ENSG00000243244,ILMN_1770385
ENSG00000243244,ILMN_1656409
ENSG00000243244,ILMN_1668592
ENSG00000243244,
ENSG00000186280,ILMN_1669468
ENSG00000179919,ILMN_1738246
ENSG00000275467,
ENSG00000226257,
ENSG00000113296,
ENSG00000113296,ILMN_1736078
ENSG00000254166,
ENSG00000226031,
ENSG00000282732,
ENSG00000260871,
ENSG00000261365,
ENSG00000250294,
ENSG00000235668,
ENSG00000233162,
ENSG00000257657,
ENSG00000117475,
ENSG00000117475,ILMN_2106658
ENSG00000117475,ILMN_2106656
ENSG00000185189,ILMN_1733248
ENSG00000185189,
ENSG00000238185,
ENSG00000180172,ILMN_1680578
ENSG00000180172,ILMN_3294074
ENSG00000086205,ILMN_1681651
ENSG00000086205,
ENSG00000147454,ILMN_1707434
ENSG00000147454,ILMN_1715969
ENSG00000147454,
ENSG00000272897,
ENSG00000234611,
ENSG00000235775,
ENSG00000141562,
ENSG00000141562,ILMN_2334693
ENSG00000260887,
ENSG00000073910,ILMN_1678437
ENSG00000073910,
ENSG00000230547,
ENSG00000259663,
ENSG00000259663,ILMN_1680799
ENSG00000196975,
ENSG00000196975,ILMN_1711408
ENSG00000154114,ILMN_1776333
ENSG00000154114,
ENSG00000232040,ILMN_1693454
ENSG00000232040,ILMN_1758244
ENSG00000232040,ILMN_2246154
ENSG00000232040,
ENSG00000265413,
ENSG00000235871,
ENSG00000250364,
ENSG00000275703,
ENSG00000226989,
ENSG00000258260,
ENSG00000128652,
ENSG00000128652,ILMN_1798076
ENSG00000125434,ILMN_1724612
ENSG00000125434,
ENSG00000257156,
ENSG00000151458,ILMN_2226304
ENSG00000151458,
ENSG00000262055,
ENSG00000229223,
ENSG00000105880,ILMN_1759598
ENSG00000105880,
ENSG00000222043,
ENSG00000255469,
ENSG00000249831,
ENSG00000282600,
ENSG00000102893,
ENSG00000102893,ILMN_1718001
ENSG00000102893,ILMN_1652412
ENSG00000102893,ILMN_2288232
ENSG00000102893,ILMN_1800447
ENSG00000186063,ILMN_1654129
ENSG00000186063,ILMN_3240117
ENSG00000186063,ILMN_1656746
ENSG00000186063,
ENSG00000170681,ILMN_1654854
ENSG00000066405,ILMN_1696284
ENSG00000066405,ILMN_1662484
ENSG00000066405,ILMN_2389054
ENSG00000066405,ILMN_2284157
ENSG00000250997,
ENSG00000205279,ILMN_1659214
ENSG00000205279,ILMN_2205767
ENSG00000205279,
ENSG00000240669,
ENSG00000166676,
ENSG00000166676,ILMN_3241250
ENSG00000234285,
ENSG00000227269,
ENSG00000234253,
ENSG00000105137,ILMN_1755822
ENSG00000105137,
ENSG00000211974,ILMN_3247797
ENSG00000205643,ILMN_1660379
ENSG00000205643,ILMN_2325112
ENSG00000205643,ILMN_1787288
ENSG00000261233,
ENSG00000256994,
ENSG00000116675,
ENSG00000116675,ILMN_2166543
ENSG00000116675,ILMN_1696079
ENSG00000256389,
ENSG00000167081,ILMN_1810100
ENSG00000167081,
ENSG00000081791,ILMN_1762990
ENSG00000081791,
ENSG00000173221,
ENSG00000173221,ILMN_1737308
ENSG00000271996,
ENSG00000244652,
ENSG00000237300,
ENSG00000170959,ILMN_2209671
ENSG00000170959,ILMN_1729962
ENSG00000170959,
ENSG00000170959,ILMN_1783383
ENSG00000172457,ILMN_1761987
ENSG00000213671,ILMN_1714427
ENSG00000140367,ILMN_1683817
ENSG00000140367,
ENSG00000218454,
ENSG00000224535,
ENSG00000244257,ILMN_3308683
ENSG00000265800,
ENSG00000234405,
ENSG00000234154,
ENSG00000265883,
ENSG00000087302,ILMN_1696708
ENSG00000087302,
ENSG00000178412,
ENSG00000230215,
ENSG00000184500,ILMN_1671928
ENSG00000184500,
ENSG00000167088,ILMN_1768393
ENSG00000167088,
ENSG00000021826,
ENSG00000021826,ILMN_1792748
ENSG00000241451,
ENSG00000237448,
ENSG00000161103,ILMN_3244456
ENSG00000161103,ILMN_3244864
ENSG00000161103,ILMN_1691582
ENSG00000161103,
ENSG00000238088,
ENSG00000276976,
ENSG00000171999,
ENSG00000255482,
ENSG00000281704,
ENSG00000271317,
ENSG00000166501,ILMN_1716563
ENSG00000166501,ILMN_3299520
ENSG00000166501,ILMN_1713603
ENSG00000166501,ILMN_1806908
ENSG00000166501,
ENSG00000272442,
ENSG00000225938,
ENSG00000278869,
ENSG00000267710,
ENSG00000267710,ILMN_1684547
ENSG00000250749,
ENSG00000226677,ILMN_2157709
ENSG00000226677,ILMN_1799563
ENSG00000231568,
ENSG00000259164,
ENSG00000236025,
ENSG00000176986,ILMN_1676600
ENSG00000176986,ILMN_1706758
ENSG00000176986,
ENSG00000274100,
ENSG00000143727,ILMN_2344956
ENSG00000143727,ILMN_1669633
ENSG00000111859,ILMN_1758719
ENSG00000111859,ILMN_1726164
ENSG00000111859,ILMN_2261076
ENSG00000111859,
ENSG00000111859,ILMN_1743619
ENSG00000111859,ILMN_3187362
ENSG00000169871,ILMN_1666376
ENSG00000169871,
ENSG00000278735,
ENSG00000233290,
ENSG00000213965,ILMN_1790282
ENSG00000187870,
ENSG00000245112,ILMN_3260281
ENSG00000228108,
ENSG00000230306,
ENSG00000237844,
ENSG00000234470,
ENSG00000261200,
ENSG00000226400,ILMN_3301958
ENSG00000237025,
ENSG00000159189,ILMN_1785902
ENSG00000186943,ILMN_1667388
ENSG00000120658,ILMN_1713471
ENSG00000120658,
ENSG00000260892,
ENSG00000251586,
ENSG00000242104,ILMN_1661509
ENSG00000232614,
ENSG00000250358,
ENSG00000229102,
ENSG00000225205,ILMN_3272518
ENSG00000225205,
ENSG00000134759,
ENSG00000115970,ILMN_1811624
ENSG00000115970,
ENSG00000279121,
ENSG00000204604,ILMN_2406390
ENSG00000204604,ILMN_1782749
ENSG00000204604,
ENSG00000204604,ILMN_1791642
ENSG00000259213,
ENSG00000100220,ILMN_1795991
ENSG00000100220,
ENSG00000239199,
ENSG00000235217,ILMN_1737360
ENSG00000235217,ILMN_2231478
ENSG00000231040,
ENSG00000142538,ILMN_1673553
ENSG00000213981,
ENSG00000091704,
ENSG00000164675,ILMN_1682616
ENSG00000164675,ILMN_1764095
ENSG00000278051,
ENSG00000078114,ILMN_1808824
ENSG00000078114,ILMN_1777251
ENSG00000078114,
ENSG00000170923,ILMN_1694051
ENSG00000272942,
ENSG00000254953,ILMN_1802459
ENSG00000125999,
ENSG00000091129,ILMN_1722809
ENSG00000091129,ILMN_2411236
ENSG00000091129,
ENSG00000224374,
ENSG00000182541,ILMN_2270443
ENSG00000182541,ILMN_1660624
ENSG00000182541,
ENSG00000204611,ILMN_1719219
ENSG00000204611,
ENSG00000232527,ILMN_3237991
ENSG00000232527,ILMN_1717060
ENSG00000232527,
ENSG00000099949,ILMN_1805161
ENSG00000099949,
ENSG00000212710,ILMN_1802029
ENSG00000212710,ILMN_3265783
ENSG00000281363,
ENSG00000281524,
ENSG00000118402,ILMN_1737965
ENSG00000228063,
ENSG00000150712,ILMN_1802831
ENSG00000150712,
ENSG00000250922,
ENSG00000136378,ILMN_1772239
ENSG00000136378,ILMN_2211790
ENSG00000136378,ILMN_3251322
ENSG00000136378,ILMN_3274405
ENSG00000136378,
ENSG00000187922,ILMN_1688646
ENSG00000269994,
ENSG00000248506,
ENSG00000235924,
ENSG00000113273,ILMN_1712587
ENSG00000113273,ILMN_1722045
ENSG00000113273,
ENSG00000113273,ILMN_1668727
ENSG00000224311,
ENSG00000205642,ILMN_1651789
ENSG00000205642,ILMN_1728657
ENSG00000205642,ILMN_2166716
ENSG00000205642,ILMN_1706028
ENSG00000278389,
ENSG00000239335,
ENSG00000112299,ILMN_1674574
ENSG00000269580,
ENSG00000229627,
ENSG00000249064,
ENSG00000218991,
ENSG00000249188,
ENSG00000278518,
ENSG00000232788,
ENSG00000235237,
ENSG00000271945,
ENSG00000180660,ILMN_1703980
ENSG00000220391,
ENSG00000164458,ILMN_2120762
ENSG00000164458,ILMN_1794551
ENSG00000164458,
ENSG00000158987,ILMN_1725992
ENSG00000158987,
ENSG00000180871,ILMN_1680397
ENSG00000102468,ILMN_1715496
ENSG00000102468,
ENSG00000002330,ILMN_1720360
ENSG00000002330,ILMN_1738652
ENSG00000002330,
ENSG00000137077,ILMN_1677505
ENSG00000225413,
ENSG00000224516,
ENSG00000253619,
ENSG00000136688,
ENSG00000136688,ILMN_2158713
ENSG00000240553,
ENSG00000237845,
ENSG00000224526,
ENSG00000223427,
ENSG00000275959,
ENSG00000235023,
ENSG00000144031,ILMN_1772660
ENSG00000144031,
ENSG00000167965,
ENSG00000167965,ILMN_1789240
ENSG00000262561,
ENSG00000282058,
ENSG00000109606,
ENSG00000109606,ILMN_1754839
ENSG00000109606,ILMN_2168449
ENSG00000256995,
ENSG00000262952,
ENSG00000276761,
ENSG00000214381,
ENSG00000197343,ILMN_2396292
ENSG00000197343,ILMN_1769673
ENSG00000197343,ILMN_1765254
ENSG00000197343,
ENSG00000169629,ILMN_2246256
ENSG00000169629,ILMN_2320574
ENSG00000169629,ILMN_2165251
ENSG00000169629,ILMN_1670141
ENSG00000169629,ILMN_3238854
ENSG00000169629,ILMN_1797281
ENSG00000169629,ILMN_2295318
ENSG00000169629,ILMN_1760410
ENSG00000169629,
ENSG00000230846,
ENSG00000197291,ILMN_3294106
ENSG00000197291,
ENSG00000129667,ILMN_2373062
ENSG00000129667,ILMN_1735792
ENSG00000129667,ILMN_1691717
ENSG00000129667,
ENSG00000260201,
ENSG00000237349,
ENSG00000223892,
ENSG00000258066,ILMN_1854109
ENSG00000225792,
ENSG00000225792,ILMN_3180843
ENSG00000236262,
ENSG00000229315,ILMN_1655045
ENSG00000229315,ILMN_1659209
ENSG00000226627,
ENSG00000231739,
ENSG00000173908,ILMN_1666887
ENSG00000235315,
ENSG00000227804,
ENSG00000259655,
ENSG00000255167,
ENSG00000141446,ILMN_1682233
ENSG00000141446,
ENSG00000177943,ILMN_1740759
ENSG00000177943,
ENSG00000226693,
ENSG00000055957,ILMN_1755251
ENSG00000055957,
ENSG00000214190,
ENSG00000249505,
ENSG00000238126,
ENSG00000238041,ILMN_3293146
ENSG00000129009,ILMN_1673609
ENSG00000129009,ILMN_1747593
ENSG00000129009,
ENSG00000129009,ILMN_1711009
ENSG00000224517,
ENSG00000233843,
ENSG00000136235,
ENSG00000136235,ILMN_1801205
ENSG00000136235,ILMN_2407389
ENSG00000228208,
ENSG00000254675,
ENSG00000253428,
ENSG00000265401,
ENSG00000226186,
ENSG00000274101,
ENSG00000188525,ILMN_1674057
ENSG00000133812,ILMN_2123665
ENSG00000133812,ILMN_1784595
ENSG00000133812,
ENSG00000237851,
ENSG00000225472,
ENSG00000233138,
ENSG00000253587,
ENSG00000249085,
ENSG00000235068,
ENSG00000177051,ILMN_2350266
ENSG00000177051,ILMN_1747119
ENSG00000177051,
ENSG00000142661,ILMN_1719581
ENSG00000142661,
ENSG00000100490,
ENSG00000165006,
ENSG00000165006,ILMN_1807596
ENSG00000132561,ILMN_1694840
ENSG00000132561,ILMN_1698685
ENSG00000132561,
ENSG00000188612,ILMN_1738150
ENSG00000188612,ILMN_2333594
ENSG00000188612,
ENSG00000204625,ILMN_1814611
ENSG00000279965,
ENSG00000233421,
ENSG00000227083,
ENSG00000225656,
ENSG00000259859,ILMN_1881341
ENSG00000238024,
ENSG00000261691,
ENSG00000272235,
ENSG00000110025,ILMN_1676978
ENSG00000110025,ILMN_2378670
ENSG00000110025,
ENSG00000257894,
ENSG00000257773,ILMN_1756139
ENSG00000180539,ILMN_1769538
ENSG00000180539,
ENSG00000227339,
ENSG00000250673,
ENSG00000225315,
ENSG00000171388,ILMN_1689353
ENSG00000250365,
ENSG00000205846,ILMN_1742962
ENSG00000224618,
ENSG00000272473,
ENSG00000282921,
ENSG00000236605,
ENSG00000054148,ILMN_1676611
ENSG00000139433,ILMN_1764380
ENSG00000139433,
ENSG00000257859,
ENSG00000140067,
ENSG00000140067,ILMN_1762696
ENSG00000282474,
ENSG00000198930,ILMN_1815439
ENSG00000198930,ILMN_1737640
ENSG00000251621,
ENSG00000226946,
ENSG00000225138,
ENSG00000128833,ILMN_1808789
ENSG00000128833,
ENSG00000282269,
ENSG00000144655,ILMN_1703123
ENSG00000142615,
ENSG00000142615,ILMN_2202747
ENSG00000282360,
ENSG00000172940,ILMN_1777665
ENSG00000172940,
ENSG00000237325,
ENSG00000273692,
ENSG00000115020,ILMN_1742197
ENSG00000115020,ILMN_1743535
ENSG00000115020,ILMN_1671108
ENSG00000115020,
ENSG00000160219,ILMN_1805979
ENSG00000160219,
ENSG00000132478,ILMN_1689119
ENSG00000132478,ILMN_2192469
ENSG00000132478,
ENSG00000214319,ILMN_3246761
ENSG00000244513,
ENSG00000119537,ILMN_2154052
ENSG00000119537,ILMN_2154053
ENSG00000119537,ILMN_3241164
ENSG00000119537,
ENSG00000237314,
ENSG00000080910,
ENSG00000257781,
ENSG00000262898,
ENSG00000261113,
ENSG00000251013,
ENSG00000278437,
ENSG00000169764,ILMN_2389155
ENSG00000169764,ILMN_1651259
ENSG00000169764,ILMN_2389151
ENSG00000169764,ILMN_2284181
ENSG00000169764,
ENSG00000169764,ILMN_1671969
ENSG00000248442,
ENSG00000273805,
ENSG00000265791,
ENSG00000239432,
ENSG00000282690,
ENSG00000259025,ILMN_3236719
ENSG00000259025,ILMN_1781270
ENSG00000259025,ILMN_3243657
ENSG00000231416,
ENSG00000254293,
ENSG00000228607,ILMN_1652931
ENSG00000196600,ILMN_1740676
ENSG00000234446,
ENSG00000250053,
ENSG00000078124,
ENSG00000078124,ILMN_3237774
ENSG00000078124,ILMN_1812552
ENSG00000272917,ILMN_1708905
ENSG00000232559,ILMN_1682711
ENSG00000250222,
ENSG00000250222,ILMN_1888074
ENSG00000189372,
ENSG00000148136,ILMN_1739763
ENSG00000259940,
ENSG00000187758,ILMN_1764309
ENSG00000187758,
ENSG00000169059,ILMN_1651789
ENSG00000169059,ILMN_1728657
ENSG00000169059,ILMN_2271568
ENSG00000169059,ILMN_1741129
ENSG00000169059,ILMN_1706028
ENSG00000169059,ILMN_2278413
ENSG00000169059,ILMN_2366642
ENSG00000169059,ILMN_2378845
ENSG00000151364,ILMN_1731044
ENSG00000227465,
ENSG00000203396,
ENSG00000238072,ILMN_1669096
ENSG00000238072,ILMN_3306294
ENSG00000238072,ILMN_2210837
ENSG00000238072,ILMN_3224815
ENSG00000163701,ILMN_1752089
ENSG00000163701,ILMN_2409876
ENSG00000163701,ILMN_1689718
ENSG00000163701,
ENSG00000163701,ILMN_1666226
ENSG00000163701,ILMN_1690458
ENSG00000166503,
ENSG00000166503,ILMN_1784256
ENSG00000166503,ILMN_1655086
ENSG00000253940,
ENSG00000091137,ILMN_1652465
ENSG00000091137,
ENSG00000082269,
ENSG00000082269,ILMN_1804454
ENSG00000082269,ILMN_2225608
ENSG00000273348,
ENSG00000231428,
ENSG00000242667,ILMN_3274586
ENSG00000048649,ILMN_1829537
ENSG00000048649,ILMN_1668834
ENSG00000048649,
ENSG00000153815,ILMN_1738075
ENSG00000153815,ILMN_1767182
ENSG00000153815,ILMN_1690888
ENSG00000153815,
ENSG00000275830,
ENSG00000138496,ILMN_1731224
ENSG00000138496,ILMN_2053527
ENSG00000138496,
ENSG00000143183,ILMN_1793829
ENSG00000143183,
ENSG00000164500,ILMN_3247514
ENSG00000164500,ILMN_1657476
ENSG00000164500,ILMN_3293007
ENSG00000164500,ILMN_3216496
ENSG00000226408,
ENSG00000248608,
ENSG00000127564,
ENSG00000127564,ILMN_2401436
ENSG00000261761,
ENSG00000267746,
ENSG00000225287,
ENSG00000119421,ILMN_1759729
ENSG00000235692,
ENSG00000074181,ILMN_1658926
ENSG00000074181,
ENSG00000105492,ILMN_2299095
ENSG00000105492,
ENSG00000132330,ILMN_1722742
ENSG00000132330,
ENSG00000228560,
ENSG00000249378,ILMN_1740942
ENSG00000249378,
ENSG00000113272,ILMN_2093720
ENSG00000113272,ILMN_1833504
ENSG00000113272,ILMN_1792620
ENSG00000279051,ILMN_1686245
ENSG00000225976,ILMN_1719256
ENSG00000225976,ILMN_2041046
ENSG00000257771,
ENSG00000232309,
ENSG00000273884,
ENSG00000249230,ILMN_1791127
ENSG00000249230,ILMN_2210739
ENSG00000256162,ILMN_1693932
ENSG00000087074,ILMN_1659936
ENSG00000279029,
ENSG00000254577,
ENSG00000234529,
ENSG00000223928,
ENSG00000282965,
ENSG00000231689,
ENSG00000071127,ILMN_1780036
ENSG00000071127,ILMN_1675844
ENSG00000071127,
