,ensembl_gene_id,affy_hg_u95av2
650,ENSG00000201818,
651,ENSG00000262656,
652,ENSG00000224961,
653,ENSG00000207046,
654,ENSG00000278483,
655,ENSG00000274784,
656,ENSG00000223286,
657,ENSG00000271905,
658,ENSG00000207603,
659,ENSG00000241159,
660,ENSG00000207283,
661,ENSG00000252622,
662,ENSG00000273525,
663,ENSG00000251974,
664,ENSG00000200256,
665,ENSG00000252148,
666,ENSG00000263572,
667,ENSG00000230556,
668,ENSG00000221639,
669,ENSG00000277380,
670,ENSG00000221365,
671,ENSG00000264346,41342_at
672,ENSG00000202324,
673,ENSG00000200502,
674,ENSG00000219435,
675,ENSG00000271257,
676,ENSG00000278410,
677,ENSG00000266239,
678,ENSG00000280624,
679,ENSG00000222460,
680,ENSG00000201370,
681,ENSG00000206636,
682,ENSG00000199914,
683,ENSG00000275957,
684,ENSG00000280178,
685,ENSG00000278524,
686,ENSG00000242699,
687,ENSG00000278470,
688,ENSG00000252643,
689,ENSG00000273934,
690,ENSG00000206908,
691,ENSG00000278221,
692,ENSG00000132874,
693,ENSG00000273750,
694,ENSG00000120324,
695,ENSG00000251877,
696,ENSG00000207062,
697,ENSG00000264500,
698,ENSG00000242912,
699,ENSG00000239183,
700,ENSG00000277187,
701,ENSG00000275752,
702,ENSG00000230749,
703,ENSG00000207147,
704,ENSG00000266128,
705,ENSG00000221740,
706,ENSG00000252326,
707,ENSG00000244610,
708,ENSG00000252859,
709,ENSG00000244692,
710,ENSG00000202354,
711,ENSG00000237723,
712,ENSG00000276678,
713,ENSG00000270792,
714,ENSG00000252917,
715,ENSG00000263475,
716,ENSG00000105479,
717,ENSG00000201027,
718,ENSG00000277950,
719,ENSG00000243671,
720,ENSG00000264190,31849_at
721,ENSG00000222800,
722,ENSG00000212242,
723,ENSG00000252117,
724,ENSG00000265587,
725,ENSG00000251821,
726,ENSG00000275711,
727,ENSG00000266436,
728,ENSG00000265319,
729,ENSG00000212380,
730,ENSG00000264855,
731,ENSG00000280842,
732,ENSG00000278497,
733,ENSG00000221265,
734,ENSG00000281802,
735,ENSG00000207386,
736,ENSG00000237828,
737,ENSG00000271907,
738,ENSG00000199360,
739,ENSG00000265110,
740,ENSG00000199728,
741,ENSG00000211514,
742,ENSG00000266119,
743,ENSG00000279119,
744,ENSG00000263842,
745,ENSG00000277995,
746,ENSG00000221806,
747,ENSG00000207702,
748,ENSG00000165661,
749,ENSG00000238357,
750,ENSG00000194297,
751,ENSG00000266531,
752,ENSG00000239035,
753,ENSG00000199764,
754,ENSG00000199963,
755,ENSG00000238882,
756,ENSG00000275721,
757,ENSG00000265195,
758,ENSG00000207339,
759,ENSG00000275693,
760,ENSG00000275254,
761,ENSG00000206705,
762,ENSG00000267886,
763,ENSG00000263988,
764,ENSG00000264406,
765,ENSG00000211510,
766,ENSG00000200003,
767,ENSG00000223026,
768,ENSG00000221020,
769,ENSG00000221630,
770,ENSG00000221016,
771,ENSG00000264804,
772,ENSG00000200413,
773,ENSG00000276844,
774,ENSG00000207577,
775,ENSG00000252887,
776,ENSG00000281739,
777,ENSG00000277081,
778,ENSG00000206925,
779,ENSG00000202427,
780,ENSG00000176619,
781,ENSG00000264073,
782,ENSG00000206839,
783,ENSG00000278280,
784,ENSG00000229497,
785,ENSG00000252393,
786,ENSG00000263896,
787,ENSG00000265632,
788,ENSG00000280729,
789,ENSG00000211518,
790,ENSG00000251980,
791,ENSG00000228517,
792,ENSG00000277014,
793,ENSG00000280575,
794,ENSG00000221210,
795,ENSG00000200830,
796,ENSG00000202021,32311_r_at
797,ENSG00000264857,
798,ENSG00000252132,
799,ENSG00000280817,
800,ENSG00000133422,
801,ENSG00000263864,
802,ENSG00000263957,
803,ENSG00000217809,
804,ENSG00000226819,
805,ENSG00000222898,
806,ENSG00000207047,35748_at
807,ENSG00000251757,
808,ENSG00000212615,
809,ENSG00000137198,31812_at
810,ENSG00000252411,
811,ENSG00000263897,
812,ENSG00000129187,
813,ENSG00000143630,
814,ENSG00000206741,
815,ENSG00000201709,
816,ENSG00000222821,
817,ENSG00000207474,
818,ENSG00000266204,
819,ENSG00000280851,
820,ENSG00000266875,
821,ENSG00000207022,
822,ENSG00000227089,
823,ENSG00000236792,
824,ENSG00000274065,
825,ENSG00000201770,
826,ENSG00000278089,
827,ENSG00000266317,
828,ENSG00000207405,31527_at
829,ENSG00000266264,
830,ENSG00000247121,
831,ENSG00000266274,
832,ENSG00000273524,
833,ENSG00000199924,
834,ENSG00000276510,
835,ENSG00000275041,
836,ENSG00000212039,
837,ENSG00000276902,
838,ENSG00000221074,
839,ENSG00000277264,33347_at
840,ENSG00000266361,
841,ENSG00000201821,
842,ENSG00000252702,
843,ENSG00000202035,
844,ENSG00000223698,
845,ENSG00000281322,
846,ENSG00000275588,
847,ENSG00000199812,
848,ENSG00000222359,
849,ENSG00000275606,
850,ENSG00000264502,
851,ENSG00000266269,
852,ENSG00000275466,
853,ENSG00000223297,
854,ENSG00000251754,
855,ENSG00000240626,
856,ENSG00000215993,
857,ENSG00000277452,
858,ENSG00000266206,
859,ENSG00000222545,
860,ENSG00000275233,
861,ENSG00000278808,
862,ENSG00000120280,
863,ENSG00000244710,
864,ENSG00000275692,
865,ENSG00000202609,
866,ENSG00000274458,
867,ENSG00000276737,
868,ENSG00000206684,
869,ENSG00000207979,
870,ENSG00000272439,
871,ENSG00000212338,
872,ENSG00000263359,
873,ENSG00000276995,
874,ENSG00000231397,
875,ENSG00000207312,
876,ENSG00000223459,
877,ENSG00000251748,
878,ENSG00000265407,
879,ENSG00000206590,
880,ENSG00000206850,
881,ENSG00000212371,
882,ENSG00000275616,36398_at
883,ENSG00000200247,
884,ENSG00000274083,
885,ENSG00000278708,
886,ENSG00000264643,
887,ENSG00000207701,
888,ENSG00000207426,
889,ENSG00000263827,
890,ENSG00000240490,
891,ENSG00000201980,
892,ENSG00000037965,
893,ENSG00000252421,
894,ENSG00000277733,
895,ENSG00000264540,
896,ENSG00000200312,
897,ENSG00000225131,
898,ENSG00000277189,
899,ENSG00000275474,
900,ENSG00000238698,
901,ENSG00000221053,
902,ENSG00000241791,
903,ENSG00000207810,
904,ENSG00000226250,
905,ENSG00000275533,
906,ENSG00000201737,
907,ENSG00000277145,
908,ENSG00000205038,
909,ENSG00000280502,
910,ENSG00000222994,
911,ENSG00000263570,
912,ENSG00000206678,
913,ENSG00000243883,
914,ENSG00000188488,37008_r_at
915,ENSG00000251857,
916,ENSG00000278189,
917,ENSG00000200893,
918,ENSG00000222631,
919,ENSG00000242381,
920,ENSG00000264901,
921,ENSG00000199593,
922,ENSG00000244618,
923,ENSG00000266244,
924,ENSG00000215311,
925,ENSG00000212526,
926,ENSG00000244568,
927,ENSG00000182378,
928,ENSG00000274164,
929,ENSG00000200385,
930,ENSG00000201134,
931,ENSG00000207625,
932,ENSG00000117971,33568_at
933,ENSG00000200926,
934,ENSG00000211556,
935,ENSG00000253051,
936,ENSG00000252503,
937,ENSG00000281069,
938,ENSG00000276574,
939,ENSG00000221021,
940,ENSG00000201919,
941,ENSG00000281889,
942,ENSG00000259561,
943,ENSG00000277717,
944,ENSG00000207472,
945,ENSG00000199217,
946,ENSG00000222650,
947,ENSG00000265636,
948,ENSG00000264770,
949,ENSG00000207201,
950,ENSG00000276567,
951,ENSG00000199899,
952,ENSG00000216022,
953,ENSG00000238386,
954,ENSG00000200468,
955,ENSG00000202322,
956,ENSG00000207151,
957,ENSG00000275135,
958,ENSG00000271841,
959,ENSG00000240733,
960,ENSG00000265032,
961,ENSG00000223076,
962,ENSG00000253092,
963,ENSG00000199698,
964,ENSG00000007384,1813_at
965,ENSG00000207599,
966,ENSG00000274375,
967,ENSG00000146373,
968,ENSG00000200294,
969,ENSG00000201635,
970,ENSG00000222385,
971,ENSG00000251878,
972,ENSG00000201260,
973,ENSG00000266052,
974,ENSG00000202050,
975,ENSG00000252036,
976,ENSG00000200248,
977,ENSG00000200693,
978,ENSG00000223287,
979,ENSG00000263416,
980,ENSG00000281272,
981,ENSG00000266768,
982,ENSG00000211483,
983,ENSG00000274314,
984,ENSG00000252953,
985,ENSG00000207293,
986,ENSG00000280827,
987,ENSG00000207743,
988,ENSG00000274017,
989,ENSG00000277124,
990,ENSG00000223562,
991,ENSG00000221157,
992,ENSG00000212045,
993,ENSG00000117971,
994,ENSG00000199938,
995,ENSG00000277642,
996,ENSG00000266310,
997,ENSG00000275220,
998,ENSG00000277086,
999,ENSG00000276055,
1000,ENSG00000217566,
1001,ENSG00000264897,
1002,ENSG00000271818,
1003,ENSG00000266430,
1004,ENSG00000266481,
1005,ENSG00000264294,
1006,ENSG00000221375,
1007,ENSG00000264740,
1008,ENSG00000221313,
1009,ENSG00000216014,
1010,ENSG00000252343,
1011,ENSG00000221083,
1012,ENSG00000266418,
1013,ENSG00000252712,
1014,ENSG00000206775,
1015,ENSG00000263449,
1016,ENSG00000277677,
1017,ENSG00000264271,
1018,ENSG00000277062,
1019,ENSG00000238716,
1020,ENSG00000264005,
1021,ENSG00000221518,
1022,ENSG00000276577,
1023,ENSG00000276881,
1024,ENSG00000222643,
1025,ENSG00000235857,
1026,ENSG00000277138,
1027,ENSG00000242121,
1028,ENSG00000266189,
1029,ENSG00000211582,
1030,ENSG00000265260,
1031,ENSG00000274847,
1032,ENSG00000201447,
1033,ENSG00000221527,
1034,ENSG00000274470,
1035,ENSG00000251747,
1036,ENSG00000207131,
1037,ENSG00000272000,
1038,ENSG00000223389,
1039,ENSG00000265829,
1040,ENSG00000276079,
1041,ENSG00000206906,
1042,ENSG00000202264,
1043,ENSG00000251975,
1044,ENSG00000222154,
1045,ENSG00000202071,
1046,ENSG00000265595,
1047,ENSG00000277309,
1048,ENSG00000252827,
1049,ENSG00000264780,
1050,ENSG00000238610,
1051,ENSG00000238211,
1052,ENSG00000252949,
1053,ENSG00000263395,
1054,ENSG00000201216,
1055,ENSG00000200377,
1056,ENSG00000204220,35963_at
1057,ENSG00000202351,
1058,ENSG00000201066,
1059,ENSG00000206711,
1060,ENSG00000277434,
1061,ENSG00000281586,
1062,ENSG00000199515,
1063,ENSG00000265321,
1064,ENSG00000278262,
1065,ENSG00000274543,
1066,ENSG00000266737,
1067,ENSG00000265381,
1068,ENSG00000275032,
1069,ENSG00000276048,
1070,ENSG00000201227,
1071,ENSG00000276171,
1072,ENSG00000212269,
1073,ENSG00000176619,36987_at
1074,ENSG00000215938,
1075,ENSG00000241665,
1076,ENSG00000200171,
1077,ENSG00000276690,
1078,ENSG00000279247,
1079,ENSG00000147274,
1080,ENSG00000274123,
1081,ENSG00000240584,
1082,ENSG00000273587,
1083,ENSG00000275218,
1084,ENSG00000194717,
1085,ENSG00000240439,
1086,ENSG00000252597,
1087,ENSG00000271817,
1088,ENSG00000252711,
1089,ENSG00000226840,
1090,ENSG00000007384,
1091,ENSG00000222987,
1092,ENSG00000168679,39260_at
1093,ENSG00000277533,
1094,ENSG00000206693,
1095,ENSG00000202141,
1096,ENSG00000251787,
1097,ENSG00000274864,
1098,ENSG00000222378,
1099,ENSG00000263685,
1100,ENSG00000201998,
1101,ENSG00000265543,34160_at
1102,ENSG00000281774,
1103,ENSG00000200183,
1104,ENSG00000275661,
1105,ENSG00000221112,
1106,ENSG00000240533,
1107,ENSG00000272055,
1108,ENSG00000157601,
1109,ENSG00000275925,
1110,ENSG00000273764,
1111,ENSG00000101421,
1112,ENSG00000127955,33809_at
1113,ENSG00000281061,
1114,ENSG00000266478,
1115,ENSG00000221183,
1116,ENSG00000281483,
1117,ENSG00000221457,
1118,ENSG00000275134,
1119,ENSG00000207145,
1120,ENSG00000102924,40326_at
1121,ENSG00000258002,
1122,ENSG00000272925,
