Ensembl Gene ID	Ensembl Transcript ID	Affy HG U95AV2 probeset
ENSG00000187699	ENST00000478197	
ENSG00000125971	ENST00000374846	
ENSG00000187699	ENST00000495546	
ENSG00000187699	ENST00000490033	
ENSG00000178591	ENST00000608838	
ENSG00000187699	ENST00000450357	
ENSG00000236295	ENST00000418591	
ENSG00000178591	ENST00000382410	
ENSG00000187699	ENST00000396974	
ENSG00000187699	ENST00000409545	
ENSG00000175104	ENST00000526995	1209_at
ENSG00000249852	ENST00000514988	
ENSG00000187699	ENST00000409870	
ENSG00000175104	ENST00000348124	1209_at
ENSG00000175104	ENST00000529150	1209_at
ENSG00000187699	ENST00000340623	
ENSG00000108684	ENST00000225823	40317_at
ENSG00000187699	ENST00000443551	
ENSG00000261524	ENST00000561950	
ENSG00000108684	ENST00000359872	40317_at
ENSG00000108684	ENST00000448983	
ENSG00000108684	ENST00000579816	
ENSG00000108684	ENST00000583395	
ENSG00000132128	ENST00000496156	
ENSG00000250641	ENST00000503322	
ENSG00000177706	ENST00000313766	
ENSG00000280618	ENST00000626496	
ENSG00000177706	ENST00000477004	
ENSG00000229240	ENST00000628644	
ENSG00000177706	ENST00000471328	
ENSG00000229240	ENST00000627921	
ENSG00000259832	ENST00000563017	
ENSG00000229240	ENST00000626553	
ENSG00000177706	ENST00000515795	
ENSG00000177706	ENST00000512382	
ENSG00000132357	ENST00000254691	
ENSG00000149043	ENST00000430303	
ENSG00000132128	ENST00000617190	40807_at
ENSG00000280618	ENST00000625601	
ENSG00000261418	ENST00000569537	
ENSG00000132128	ENST00000615587	40807_at
ENSG00000149043	ENST00000417052	
ENSG00000240093	ENST00000467050	
ENSG00000132357	ENST00000381677	
ENSG00000128510	ENST00000222482	
ENSG00000132128	ENST00000472710	40807_at
ENSG00000229240	ENST00000635054	
ENSG00000229240	ENST00000600516	
ENSG00000223764	ENST00000609207	
ENSG00000132128	ENST00000498402	
ENSG00000146776	ENST00000419735	34903_at
ENSG00000229240	ENST00000428520	
ENSG00000223764	ENST00000417705	
ENSG00000132128	ENST00000469150	
ENSG00000229240	ENST00000441855	
ENSG00000132128	ENST00000343304	40807_at
ENSG00000223764	ENST00000432961	
ENSG00000229240	ENST00000634614	
ENSG00000146776	ENST00000477775	
ENSG00000214998	ENST00000399411	
ENSG00000130363	ENST00000367069	
ENSG00000149043	ENST00000479276	
ENSG00000132128	ENST00000617760	40807_at
ENSG00000229240	ENST00000635670	
ENSG00000128510	ENST00000497388	
ENSG00000100591	ENST00000555133	40979_at
ENSG00000149043	ENST00000490707	
ENSG00000229240	ENST00000634224	
ENSG00000130363	ENST00000607398	
ENSG00000267580	ENST00000589932	
ENSG00000130363	ENST00000449822	
ENSG00000229240	ENST00000596092	
ENSG00000235425	ENST00000413955	
ENSG00000146776	ENST00000484475	
ENSG00000223838	ENST00000412563	
ENSG00000229240	ENST00000601050	
ENSG00000130363	ENST00000252655	
ENSG00000128510	ENST00000470542	
ENSG00000263141	ENST00000573680	
ENSG00000149043	ENST00000479089	
ENSG00000229240	ENST00000619619	
ENSG00000128510	ENST00000474254	
ENSG00000229240	ENST00000617890	
ENSG00000128510	ENST00000492072	
ENSG00000229240	ENST00000618245	
ENSG00000263141	ENST00000575821	
ENSG00000146776	ENST00000474433	
ENSG00000128510	ENST00000490117	
ENSG00000263141	ENST00000611190	
ENSG00000229240	ENST00000622401	
ENSG00000100591	ENST00000216479	40979_at
ENSG00000128510	ENST00000473956	
ENSG00000263141	ENST00000575419	
ENSG00000229240	ENST00000615861	
ENSG00000146776	ENST00000472195	
ENSG00000100591	ENST00000535854	
ENSG00000229240	ENST00000613357	
ENSG00000263141	ENST00000574159	
ENSG00000128510	ENST00000493259	
ENSG00000229240	ENST00000450174	
ENSG00000100591	ENST00000554156	
ENSG00000146776	ENST00000472910	
ENSG00000128510	ENST00000486598	
ENSG00000229240	ENST00000598573	
ENSG00000146776	ENST00000485652	
ENSG00000100591	ENST00000555517	
ENSG00000128510	ENST00000488025	
ENSG00000100591	ENST00000556963	
ENSG00000146776	ENST00000318724	34903_at
ENSG00000128510	ENST00000445470	
ENSG00000100591	ENST00000556866	
ENSG00000280618	ENST00000625276	
ENSG00000197863	ENST00000356725	
ENSG00000100591	ENST00000553374	
ENSG00000146776	ENST00000478915	
ENSG00000197863	ENST00000528994	
ENSG00000250834	ENST00000513396	
ENSG00000100591	ENST00000555457	40979_at
ENSG00000280618	ENST00000628954	
ENSG00000146776	ENST00000481880	34903_at
ENSG00000100591	ENST00000555729	40979_at
ENSG00000197863	ENST00000586323	
ENSG00000149043	ENST00000381968	
ENSG00000146776	ENST00000464874	34903_at
ENSG00000149043	ENST00000464897	
ENSG00000197863	ENST00000525288	
ENSG00000100591	ENST00000555473	40979_at
ENSG00000280618	ENST00000630629	
ENSG00000149043	ENST00000475245	
ENSG00000100591	ENST00000556369	40979_at
ENSG00000197863	ENST00000527645	
ENSG00000280618	ENST00000628956	
ENSG00000149043	ENST00000381978	
ENSG00000273860	ENST00000619986	
ENSG00000100591	ENST00000557476	40979_at
ENSG00000280618	ENST00000626546	
ENSG00000149043	ENST00000341958	
ENSG00000226124	ENST00000416668	
ENSG00000197863	ENST00000613249	
ENSG00000197863	ENST00000614179	
ENSG00000263342	ENST00000576271	
ENSG00000280618	ENST00000627204	
ENSG00000197863	ENST00000615484	
ENSG00000149043	ENST00000424556	
ENSG00000226124	ENST00000420922	
ENSG00000149043	ENST00000482118	
ENSG00000226124	ENST00000420128	
ENSG00000149043	ENST00000483280	
ENSG00000280618	ENST00000627013	
ENSG00000139899	ENST00000267406	
ENSG00000149043	ENST00000494431	
ENSG00000276885	ENST00000611311	
ENSG00000226124	ENST00000622774	
ENSG00000280618	ENST00000628747	
ENSG00000139899	ENST00000555436	
ENSG00000251260	ENST00000510449	
ENSG00000280618	ENST00000630158	
ENSG00000182888	ENST00000329806	
ENSG00000261196	ENST00000568156	
ENSG00000280618	ENST00000627816	
ENSG00000226754	ENST00000458151	
ENSG00000248397	ENST00000504369	
ENSG00000228433	ENST00000435600	
ENSG00000270422	ENST00000603236	
ENSG00000216676	ENST00000404273	
ENSG00000249894	ENST00000514791	
ENSG00000232446	ENST00000436203	
ENSG00000238220	ENST00000411943	
ENSG00000249721	ENST00000514578	
ENSG00000243779	ENST00000494882	
ENSG00000184206	ENST00000510439	
ENSG00000248104	ENST00000506124	
ENSG00000184206	ENST00000512109	
ENSG00000101446	ENST00000217428	33686_at
ENSG00000184206	ENST00000515814	
ENSG00000184206	ENST00000379674	
ENSG00000184206	ENST00000422563	
ENSG00000164066	ENST00000504491	
ENSG00000280019	ENST00000624484	
ENSG00000105583	ENST00000596731	
ENSG00000105583	ENST00000222190	
ENSG00000105583	ENST00000598732	
ENSG00000164049	ENST00000296438	
ENSG00000105583	ENST00000600694	
ENSG00000264930	ENST00000584626	
ENSG00000277117	ENST00000612610	
ENSG00000236259	ENST00000428093	
ENSG00000277117	ENST00000623960	31803_at
ENSG00000164049	ENST00000436231	
ENSG00000151665	ENST00000281382	776_at
ENSG00000228770	ENST00000447461	
ENSG00000277117	ENST00000623903	
ENSG00000164049	ENST00000445170	
ENSG00000277117	ENST00000623795	31803_at
ENSG00000164066	ENST00000335251	
ENSG00000277117	ENST00000620481	
ENSG00000164049	ENST00000415155	
ENSG00000164465	ENST00000528138	
ENSG00000151665	ENST00000482786	776_at
ENSG00000164465	ENST00000525483	
ENSG00000164465	ENST00000533950	
ENSG00000151665	ENST00000420164	776_at
ENSG00000140285	ENST00000267843	32126_at
ENSG00000140285	ENST00000267843	1380_at
ENSG00000140285	ENST00000267843	1466_s_at
ENSG00000164465	ENST00000528162	
ENSG00000164049	ENST00000477542	
ENSG00000151665	ENST00000306465	776_at
ENSG00000140285	ENST00000560270	
ENSG00000151665	ENST00000412717	776_at
ENSG00000140285	ENST00000560765	1466_s_at
ENSG00000164049	ENST00000468158	
ENSG00000125788	ENST00000382398	
ENSG00000134086	ENST00000256474	1668_s_at
ENSG00000134086	ENST00000256474	40871_at
ENSG00000151665	ENST00000495933	
ENSG00000164066	ENST00000503626	
ENSG00000140285	ENST00000560979	1466_s_at
ENSG00000125788	ENST00000542572	
ENSG00000151665	ENST00000474980	
ENSG00000140285	ENST00000560704	1466_s_at
ENSG00000164066	ENST00000503952	
ENSG00000134086	ENST00000345392	1668_s_at
ENSG00000134086	ENST00000345392	40871_at
ENSG00000140285	ENST00000614567	32126_at
ENSG00000140285	ENST00000614567	1380_at
ENSG00000140285	ENST00000614567	1466_s_at
ENSG00000164066	ENST00000504276	
ENSG00000230851	ENST00000415407	
ENSG00000134086	ENST00000477538	1668_s_at
ENSG00000164066	ENST00000506283	
ENSG00000224476	ENST00000496996	
ENSG00000164066	ENST00000512995	
ENSG00000231288	ENST00000436579	
ENSG00000264262	ENST00000582507	
ENSG00000225267	ENST00000430538	
ENSG00000164066	ENST00000510766	
ENSG00000237479	ENST00000421907	
ENSG00000261593	ENST00000567218	
ENSG00000167524	ENST00000579457	
ENSG00000255320	ENST00000531086	
ENSG00000143919	ENST00000402247	
ENSG00000167524	ENST00000578956	
ENSG00000143919	ENST00000407131	
ENSG00000164465	ENST00000296955	
ENSG00000273398	ENST00000406334	
ENSG00000143919	ENST00000403853	
ENSG00000164465	ENST00000338728	
ENSG00000167524	ENST00000494272	
ENSG00000120784	ENST00000589018	
ENSG00000178464	ENST00000325000	2016_s_at
ENSG00000167195	ENST00000300576	
ENSG00000218472	ENST00000404787	
ENSG00000272072	ENST00000607036	
ENSG00000167524	ENST00000301037	
ENSG00000164465	ENST00000533453	
ENSG00000214889	ENST00000419943	
ENSG00000105695	ENST00000600291	
ENSG00000164465	ENST00000481630	
ENSG00000217135	ENST00000405321	
ENSG00000164465	ENST00000424717	
ENSG00000272659	ENST00000609556	
ENSG00000228341	ENST00000447049	
ENSG00000164465	ENST00000534777	
ENSG00000120784	ENST00000351218	
ENSG00000164465	ENST00000478345	
ENSG00000232978	ENST00000417577	
ENSG00000272602	ENST00000610261	
ENSG00000120784	ENST00000514101	
ENSG00000164465	ENST00000487076	
ENSG00000143919	ENST00000378494	
ENSG00000143919	ENST00000454433	
ENSG00000226089	ENST00000435858	
ENSG00000259641	ENST00000558411	
ENSG00000272602	ENST00000608255	
ENSG00000226089	ENST00000570612	
ENSG00000143919	ENST00000477623	
ENSG00000259641	ENST00000560655	
ENSG00000250148	ENST00000504812	
ENSG00000143919	ENST00000428929	
ENSG00000259641	ENST00000558941	
ENSG00000260097	ENST00000563237	
ENSG00000120784	ENST00000587809	
ENSG00000143919	ENST00000428993	
ENSG00000259641	ENST00000559212	
ENSG00000272602	ENST00000609518	
ENSG00000255226	ENST00000531982	
ENSG00000125812	ENST00000338121	
ENSG00000120784	ENST00000588979	
ENSG00000255226	ENST00000526225	
ENSG00000261003	ENST00000564198	
ENSG00000230615	ENST00000623351	
ENSG00000272602	ENST00000509152	
ENSG00000143919	ENST00000477830	
ENSG00000125812	ENST00000424216	
ENSG00000230615	ENST00000624869	
ENSG00000143919	ENST00000613618	
ENSG00000167524	ENST00000581199	
ENSG00000120784	ENST00000477900	
ENSG00000272602	ENST00000502981	
ENSG00000272716	ENST00000608489	
ENSG00000230615	ENST00000607988	
ENSG00000167524	ENST00000526073	
ENSG00000125812	ENST00000461789	
ENSG00000173369	ENST00000510260	38796_at
ENSG00000230615	ENST00000609636	
ENSG00000120784	ENST00000587199	
ENSG00000167524	ENST00000461399	
ENSG00000230615	ENST00000609472	
ENSG00000125812	ENST00000477239	
ENSG00000221938	ENST00000408899	
ENSG00000230615	ENST00000610167	
ENSG00000120784	ENST00000591444	
ENSG00000167524	ENST00000527918	
ENSG00000125812	ENST00000377051	
ENSG00000173369	ENST00000509305	38796_at
ENSG00000230615	ENST00000434244	
ENSG00000167524	ENST00000530121	
ENSG00000120784	ENST00000589676	
ENSG00000230615	ENST00000630871	
ENSG00000221938	ENST00000627593	
ENSG00000120784	ENST00000586732	
ENSG00000234576	ENST00000440488	
ENSG00000230615	ENST00000626342	
ENSG00000167524	ENST00000469832	
ENSG00000173369	ENST00000432749	38796_at
ENSG00000230615	ENST00000626430	
ENSG00000088782	ENST00000382388	
ENSG00000120784	ENST00000589789	
ENSG00000230615	ENST00000628234	
ENSG00000167524	ENST00000527863	
ENSG00000230615	ENST00000616338	
ENSG00000131873	ENST00000254190	41447_at
ENSG00000173369	ENST00000314933	38796_at
ENSG00000230615	ENST00000431800	
ENSG00000167524	ENST00000525510	
ENSG00000120784	ENST00000392144	
ENSG00000230615	ENST00000437643	
ENSG00000276928	ENST00000612091	
ENSG00000230615	ENST00000453688	
ENSG00000131873	ENST00000543813	
ENSG00000236548	ENST00000439075	
ENSG00000230615	ENST00000447959	
ENSG00000237980	ENST00000446962	
ENSG00000131873	ENST00000560766	
ENSG00000230615	ENST00000609027	
ENSG00000281706	ENST00000628328	
ENSG00000131873	ENST00000561414	
ENSG00000230615	ENST00000630008	
ENSG00000281706	ENST00000628762	
ENSG00000228520	ENST00000430233	
ENSG00000230615	ENST00000627824	
ENSG00000131873	ENST00000561143	
ENSG00000281706	ENST00000625477	
ENSG00000230615	ENST00000625367	
ENSG00000232699	ENST00000602288	
ENSG00000215264	ENST00000462503	
ENSG00000131873	ENST00000559384	
ENSG00000230615	ENST00000628123	
ENSG00000227110	ENST00000441861	
ENSG00000281706	ENST00000629732	
ENSG00000206526	ENST00000383656	
ENSG00000228520	ENST00000482708	
ENSG00000230615	ENST00000627999	
ENSG00000230615	ENST00000625982	
ENSG00000262938	ENST00000576372	
ENSG00000227110	ENST00000446281	
ENSG00000254033	ENST00000518178	
ENSG00000227110	ENST00000452802	
ENSG00000262938	ENST00000576061	
ENSG00000227110	ENST00000420095	
ENSG00000262938	ENST00000573131	
ENSG00000243430	ENST00000414808	
ENSG00000227110	ENST00000455811	
ENSG00000243430	ENST00000449091	
ENSG00000243701	ENST00000466734	
ENSG00000262938	ENST00000571812	
ENSG00000227110	ENST00000439407	
ENSG00000262938	ENST00000610926	
ENSG00000227110	ENST00000458666	
ENSG00000243701	ENST00000463143	
ENSG00000280347	ENST00000624029	
ENSG00000163464	ENST00000295683	1353_g_at
ENSG00000163464	ENST00000295683	1352_at
ENSG00000243701	ENST00000490441	
ENSG00000280072	ENST00000625183	
ENSG00000243701	ENST00000473550	
ENSG00000241599	ENST00000496488	
ENSG00000243701	ENST00000495228	
ENSG00000233824	ENST00000414127	
ENSG00000244355	ENST00000375825	33609_at
ENSG00000244355	ENST00000375824	33609_at
ENSG00000267213	ENST00000592680	
ENSG00000260951	ENST00000562268	
ENSG00000260497	ENST00000568348	
ENSG00000261385	ENST00000563605	
ENSG00000244355	ENST00000479334	33609_at
ENSG00000270612	ENST00000604371	
ENSG00000261231	ENST00000565451	
ENSG00000230254	ENST00000427936	
ENSG00000263140	ENST00000575401	
ENSG00000261231	ENST00000569726	
ENSG00000123570	ENST00000243298	
ENSG00000263140	ENST00000571181	
ENSG00000230254	ENST00000462865	
ENSG00000178966	ENST00000445877	
ENSG00000263140	ENST00000621117	
ENSG00000230254	ENST00000467974	
ENSG00000263140	ENST00000572066	
ENSG00000263553	ENST00000578490	
ENSG00000145757	ENST00000477715	
ENSG00000263140	ENST00000575623	
ENSG00000266279	ENST00000585275	
ENSG00000263140	ENST00000573397	
ENSG00000263140	ENST00000571434	
ENSG00000268336	ENST00000595243	
ENSG00000145757	ENST00000477047	
ENSG00000178966	ENST00000325875	
ENSG00000280217	ENST00000623628	
ENSG00000236830	ENST00000453159	
ENSG00000178966	ENST00000615118	
ENSG00000155158	ENST00000512701	
ENSG00000034239	ENST00000521002	
ENSG00000236830	ENST00000413862	
ENSG00000166479	ENST00000299608	
ENSG00000261325	ENST00000570024	
ENSG00000145757	ENST00000316087	
ENSG00000236830	ENST00000608690	
ENSG00000236830	ENST00000608622	
ENSG00000166479	ENST00000578816	
ENSG00000236830	ENST00000608632	
ENSG00000145757	ENST00000274432	
ENSG00000236830	ENST00000609192	
ENSG00000105695	ENST00000392213	38558_at
ENSG00000236830	ENST00000608641	
ENSG00000231900	ENST00000440922	
ENSG00000145757	ENST00000379990	
ENSG00000236830	ENST00000625189	
ENSG00000236830	ENST00000625079	
ENSG00000145757	ENST00000489917	
ENSG00000155158	ENST00000380853	
ENSG00000236830	ENST00000623579	
ENSG00000153347	ENST00000283357	
ENSG00000272301	ENST00000606980	
ENSG00000105695	ENST00000361922	38558_at
ENSG00000236830	ENST00000623638	
ENSG00000235500	ENST00000452841	
ENSG00000236415	ENST00000443635	
ENSG00000232198	ENST00000421994	
ENSG00000236830	ENST00000624080	
ENSG00000048405	ENST00000485577	
ENSG00000258959	ENST00000557551	
ENSG00000034239	ENST00000523008	
ENSG00000105695	ENST00000595791	
ENSG00000153347	ENST00000513529	
ENSG00000236830	ENST00000624086	
ENSG00000258959	ENST00000557242	
ENSG00000271757	ENST00000607673	
ENSG00000236830	ENST00000624883	
ENSG00000236830	ENST00000623647	
ENSG00000272477	ENST00000607148	
ENSG00000215034	ENST00000399472	
ENSG00000258959	ENST00000553701	
ENSG00000105695	ENST00000597035	
ENSG00000236830	ENST00000623484	
ENSG00000153347	ENST00000507832	
ENSG00000255531	ENST00000529136	
ENSG00000153347	ENST00000506418	
ENSG00000052344	ENST00000317508	634_at
ENSG00000236830	ENST00000427491	
ENSG00000223568	ENST00000434028	
ENSG00000153347	ENST00000503361	
ENSG00000105695	ENST00000537831	38558_at
ENSG00000236830	ENST00000432988	
ENSG00000166479	ENST00000564631	
ENSG00000155158	ENST00000507285	
ENSG00000153347	ENST00000510458	
ENSG00000242951	ENST00000489251	
ENSG00000105695	ENST00000593348	
ENSG00000153347	ENST00000503099	
ENSG00000213416	ENST00000394014	
ENSG00000166479	ENST00000566135	
ENSG00000052344	ENST00000568261	634_at
ENSG00000271502	ENST00000605291	
ENSG00000105695	ENST00000597162	38558_at
ENSG00000166479	ENST00000578765	
ENSG00000153347	ENST00000512365	
ENSG00000260807	ENST00000567961	
ENSG00000155158	ENST00000507993	
ENSG00000052344	ENST00000567531	634_at
ENSG00000260807	ENST00000565139	
ENSG00000166479	ENST00000566887	
ENSG00000239636	ENST00000425881	
ENSG00000261335	ENST00000565271	
ENSG00000153347	ENST00000513110	
ENSG00000166479	ENST00000569053	
ENSG00000052344	ENST00000567797	
ENSG00000232533	ENST00000429630	
ENSG00000034239	ENST00000521701	
ENSG00000260807	ENST00000562570	
ENSG00000161055	ENST00000292641	
ENSG00000277382	ENST00000612163	
ENSG00000052344	ENST00000564025	
ENSG00000166479	ENST00000443099	
ENSG00000260807	ENST00000568394	
ENSG00000239636	ENST00000444348	
ENSG00000277518	ENST00000627256	
ENSG00000232260	ENST00000413813	
ENSG00000260807	ENST00000565467	
ENSG00000249089	ENST00000503376	
ENSG00000166479	ENST00000562706	
ENSG00000254917	ENST00000533484	
ENSG00000115946	ENST00000263657	33720_at
ENSG00000161055	ENST00000512120	
ENSG00000259013	ENST00000556294	
ENSG00000282588	ENST00000631486	
ENSG00000166479	ENST00000564008	
ENSG00000277518	ENST00000628539	
ENSG00000106443	ENST00000521747	38195_at
ENSG00000115946	ENST00000430742	
ENSG00000052344	ENST00000567833	
ENSG00000277518	ENST00000626903	
ENSG00000166479	ENST00000565918	
ENSG00000115946	ENST00000488728	33720_at
ENSG00000198090	ENST00000345847	
ENSG00000213954	ENST00000396994	
ENSG00000203808	ENST00000580511	
ENSG00000166479	ENST00000580785	
ENSG00000155158	ENST00000505732	
ENSG00000277518	ENST00000629229	
ENSG00000203808	ENST00000580854	
ENSG00000166479	ENST00000569982	
ENSG00000155158	ENST00000582994	
ENSG00000203808	ENST00000369122	
ENSG00000233757	ENST00000425953	
ENSG00000277518	ENST00000621433	
ENSG00000226995	ENST00000599273	
ENSG00000034239	ENST00000262103	
ENSG00000228460	ENST00000457790	
ENSG00000237476	ENST00000444039	
ENSG00000203808	ENST00000369120	
ENSG00000226995	ENST00000593667	
ENSG00000166479	ENST00000544714	
ENSG00000233757	ENST00000614286	
ENSG00000260807	ENST00000563863	
ENSG00000155158	ENST00000506891	
ENSG00000149136	ENST00000278412	37739_at
ENSG00000260807	ENST00000565069	
ENSG00000249226	ENST00000514739	
ENSG00000233757	ENST00000610384	
ENSG00000226995	ENST00000414677	
ENSG00000241684	ENST00000460833	
ENSG00000034239	ENST00000522254	
ENSG00000236775	ENST00000431287	
ENSG00000048405	ENST00000393313	
ENSG00000260863	ENST00000566088	
ENSG00000263312	ENST00000571890	
ENSG00000260807	ENST00000563837	
ENSG00000241684	ENST00000485174	
ENSG00000155158	ENST00000380850	
ENSG00000226995	ENST00000420529	
ENSG00000034239	ENST00000523092	
ENSG00000230696	ENST00000425576	
ENSG00000219666	ENST00000403074	
ENSG00000241684	ENST00000474768	
ENSG00000155158	ENST00000297615	
